!	 EXCLAMATION MARK
#	 NUMBER SIGN
&	 AMPERSAND
y̋	 LATIN SMALL LETTER Y + COMBINING DOUBLE ACUTE ACCENT
y̋̄	 LATIN SMALL LETTER Y + COMBINING DOUBLE ACUTE ACCENT + COMBINING MACRON
yͤ	 LATIN SMALL LETTER Y + COMBINING LATIN SMALL LETTER E
z	 LATIN SMALL LETTER Z
zˢ	 LATIN SMALL LETTER Z + MODIFIER LETTER SMALL S
z̄	 LATIN SMALL LETTER Z + COMBINING MACRON
{	 LEFT CURLY BRACKET
|	 VERTICAL LINE
}	 RIGHT CURLY BRACKET
~	 TILDE
§	 SECTION SIGN
«	 LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
¶	 PILCROW SIGN
·	 MIDDLE DOT
·ᵃ	 MIDDLE DOT + MODIFIER LETTER SMALL A
»	 RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
Á	 LATIN CAPITAL LETTER A WITH ACUTE
Æ	 LATIN CAPITAL LETTER AE
É	 LATIN CAPITAL LETTER E WITH ACUTE
Í	 LATIN CAPITAL LETTER I WITH ACUTE
Ï	 LATIN CAPITAL LETTER I WITH DIAERESIS
Ó	 LATIN CAPITAL LETTER O WITH ACUTE
Ö	 LATIN CAPITAL LETTER O WITH DIAERESIS
Ú	 LATIN CAPITAL LETTER U WITH ACUTE
à	 LATIN SMALL LETTER A WITH GRAVE
á	 LATIN SMALL LETTER A WITH ACUTE
â	 LATIN SMALL LETTER A WITH CIRCUMFLEX
æ	 LATIN SMALL LETTER AE
è	 LATIN SMALL LETTER E WITH GRAVE
é	 LATIN SMALL LETTER E WITH ACUTE
ê	 LATIN SMALL LETTER E WITH CIRCUMFLEX
ë	 LATIN SMALL LETTER E WITH DIAERESIS
í	 LATIN SMALL LETTER I WITH ACUTE
íꝰ	 LATIN SMALL LETTER I WITH ACUTE + MODIFIER LETTER US
î	 LATIN SMALL LETTER I WITH CIRCUMFLEX
ï	 LATIN SMALL LETTER I WITH DIAERESIS
ó	 LATIN SMALL LETTER O WITH ACUTE
ó̄	 LATIN SMALL LETTER O WITH ACUTE + COMBINING MACRON
ó̗̄	 LATIN SMALL LETTER O WITH ACUTE + COMBINING MACRON + COMBINING ACUTE ACCENT BELOW
ó̗	 LATIN SMALL LETTER O WITH ACUTE + COMBINING ACUTE ACCENT BELOW
ô	 LATIN SMALL LETTER O WITH CIRCUMFLEX
ö	 LATIN SMALL LETTER O WITH DIAERESIS
ú	 LATIN SMALL LETTER U WITH ACUTE
ü	 LATIN SMALL LETTER U WITH DIAERESIS
ý	 LATIN SMALL LETTER Y WITH ACUTE
ÿ	 LATIN SMALL LETTER Y WITH DIAERESIS
ÿ̄	 LATIN SMALL LETTER Y WITH DIAERESIS + COMBINING MACRON
Ā	 LATIN CAPITAL LETTER A WITH MACRON
ā	 LATIN SMALL LETTER A WITH MACRON
ć	 LATIN SMALL LETTER C WITH ACUTE
Č	 LATIN CAPITAL LETTER C WITH CARON
č	 LATIN SMALL LETTER C WITH CARON
čʼ	 LATIN SMALL LETTER C WITH CARON + MODIFIER LETTER APOSTROPHE
ē	 LATIN SMALL LETTER E WITH MACRON
ė	 LATIN SMALL LETTER E WITH DOT ABOVE
ȩ̇	 LATIN SMALL LETTER E WITH DOT ABOVE + COMBINING CEDILLA
Ę	 LATIN CAPITAL LETTER E WITH OGONEK
ę	 LATIN SMALL LETTER E WITH OGONEK
ě	 LATIN SMALL LETTER E WITH CARON
ī	 LATIN SMALL LETTER I WITH MACRON
īᵒ	 LATIN SMALL LETTER I WITH MACRON + MODIFIER LETTER SMALL O
īꝰ	 LATIN SMALL LETTER I WITH MACRON + MODIFIER LETTER US
Ń	 LATIN CAPITAL LETTER N WITH ACUTE
ń	 LATIN SMALL LETTER N WITH ACUTE
ō	 LATIN SMALL LETTER O WITH MACRON
ō̗	 LATIN SMALL LETTER O WITH MACRON + COMBINING ACUTE ACCENT BELOW
ő	 LATIN SMALL LETTER O WITH DOUBLE ACUTE
ő̗	 LATIN SMALL LETTER O WITH DOUBLE ACUTE + COMBINING ACUTE ACCENT BELOW
ŕ	 LATIN SMALL LETTER R WITH ACUTE
ū	 LATIN SMALL LETTER U WITH MACRON
Ű	 LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
ű	 LATIN SMALL LETTER U WITH DOUBLE ACUTE
Ÿ	 LATIN CAPITAL LETTER Y WITH DIAERESIS
ź	 LATIN SMALL LETTER Z WITH ACUTE
ſ	 LATIN SMALL LETTER LONG S
ſꝰ	 LATIN SMALL LETTER LONG S + MODIFIER LETTER US
Ʒ	 LATIN CAPITAL LETTER EZH
ǎ	 LATIN SMALL LETTER A WITH CARON
ǒ	 LATIN SMALL LETTER O WITH CARON
ǒ̗	 LATIN SMALL LETTER O WITH CARON + COMBINING ACUTE ACCENT BELOW
ǔ	 LATIN SMALL LETTER U WITH CARON
Ǵ	 LATIN CAPITAL LETTER G WITH ACUTE
ǵ	 LATIN SMALL LETTER G WITH ACUTE
ȩ	 LATIN SMALL LETTER E WITH CEDILLA
ȯ	 LATIN SMALL LETTER O WITH DOT ABOVE
ȳ	 LATIN SMALL LETTER Y WITH MACRON
ʒ	 LATIN SMALL LETTER EZH
ʳᵒˡ	 MODIFIER LETTER SMALL R + MODIFIER LETTER SMALL O + MODIFIER LETTER SMALL L
ͤ	 COMBINING LATIN SMALL LETTER E
·	 GREEK ANO TELEIA
Γ	 GREEK CAPITAL LETTER GAMMA
ή	 GREEK SMALL LETTER ETA WITH TONOS
ί	 GREEK SMALL LETTER IOTA WITH TONOS
α	 GREEK SMALL LETTER ALPHA
γ	 GREEK SMALL LETTER GAMMA
θ	 GREEK SMALL LETTER THETA
κ	 GREEK SMALL LETTER KAPPA
ν	 GREEK SMALL LETTER NU
ρ	 GREEK SMALL LETTER RHO
τ	 GREEK SMALL LETTER TAU
υ	 GREEK SMALL LETTER UPSILON
χ	 GREEK SMALL LETTER CHI
ω	 GREEK SMALL LETTER OMEGA
ᵐᵒᵗ	 MODIFIER LETTER SMALL M + MODIFIER LETTER SMALL O + MODIFIER LETTER SMALL T
ḡ	 LATIN SMALL LETTER G WITH MACRON
ṕ	 LATIN SMALL LETTER P WITH ACUTE
ẃ	 LATIN SMALL LETTER W WITH ACUTE
ẃ̗	 LATIN SMALL LETTER W WITH ACUTE + COMBINING ACUTE ACCENT BELOW
ẅ	 LATIN SMALL LETTER W WITH DIAERESIS
ẇ	 LATIN SMALL LETTER W WITH DOT ABOVE
ẏ	 LATIN SMALL LETTER Y WITH DOT ABOVE
ẏ̄	 LATIN SMALL LETTER Y WITH DOT ABOVE + COMBINING MACRON
ả	 LATIN SMALL LETTER A WITH HOOK ABOVE
ẻ	 LATIN SMALL LETTER E WITH HOOK ABOVE
ỉ	 LATIN SMALL LETTER I WITH HOOK ABOVE
ỏ	 LATIN SMALL LETTER O WITH HOOK ABOVE
ỏ̗	 LATIN SMALL LETTER O WITH HOOK ABOVE + COMBINING ACUTE ACCENT BELOW
ủ	 LATIN SMALL LETTER U WITH HOOK ABOVE
⁊	 TIRONIAN SIGN ET
⁝	 TRICOLON
ꝑ	 LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER
ꝓ	 LATIN SMALL LETTER P WITH FLOURISH
ꝫ	 LATIN SMALL LETTER ET
ꝯ	 LATIN SMALL LETTER CON
